,X1,sex,cause_r,educ_r,age_r,location_r,random_number
811,13841,Men,Asphyxiation,High School or more,30-44,Home,811
812,12639,Men,Firearm,High School or more,30-44,Street,812
813,23786,Men,Firearm,Middle school,45-69,Street,813
814,29495,Men,Firearm,Primary or less,30-44,Other,814
815,19205,Men,Firearm,Middle school,45-69,Street,815
816,15572,Men,Knife,Middle school,30-44,Home,816
817,27788,Men,Firearm,High School or more,0-19,Street,817
818,6811,Women,Non-specified means,Primary or less,20-29,Street,818
819,5343,Men,Firearm,High School or more,20-29,Other,819
820,28071,Women,Firearm,High School or more,45-69,Street,820
821,13708,Men,Knife,Middle school,30-44,Street,821
822,10152,Women,Firearm,Primary or less,45-69,Street,822
823,22499,Women,Firearm,Middle school,20-29,Home,823
824,24424,Men,Firearm,High School or more,0-19,Street,824
825,6178,Men,Firearm,High School or more,30-44,Street,825
826,17668,Men,Firearm,Middle school,45-69,Street,826
827,15068,Men,Knife,Primary or less,0-19,Home,827
828,25524,Men,Firearm,Primary or less,30-44,Other,828
829,9363,Men,Firearm,High School or more,45-69,Home,829
830,9470,Men,Firearm,Middle school,45-69,Other,830
831,9079,Men,Firearm,High School or more,30-44,Other,831
832,14749,Men,Firearm,Primary or less,69 +,Home,832
833,21501,Men,Firearm,High School or more,20-29,Other,833
834,3987,Men,Firearm,Primary or less,69 +,Other,834
835,31629,Women,Asphyxiation,Middle school,20-29,Other,835
836,13381,Men,Firearm,High School or more,20-29,Other,836
837,8557,Men,Firearm,Middle school,30-44,Street,837
838,7474,Men,Firearm,High School or more,30-44,Street,838
839,26067,Men,Firearm,Middle school,20-29,Street,839
840,24889,Men,Non-specified means,High School or more,20-29,Street,840
841,24916,Men,Other,Middle school,20-29,Other,841
842,16728,Women,Non-specified means,High School or more,45-69,Other,842
843,5493,Men,Asphyxiation,High School or more,20-29,Other,843
844,30973,Men,Firearm,Primary or less,45-69,Other,844
845,13448,Men,Asphyxiation,High School or more,20-29,Street,845
846,7758,Women,Firearm,High School or more,45-69,Street,846
847,11878,Men,Non-specified means,Middle school,20-29,Home,847
848,31077,Men,Firearm,Middle school,20-29,Street,848
849,30159,Men,Firearm,Middle school,30-44,Street,849
850,10071,Men,Firearm,Primary or less,30-44,Street,850
851,18964,Men,Firearm,Middle school,45-69,Other,851
852,2942,Men,Other,High School or more,30-44,Home,852
853,10847,Men,Firearm,Primary or less,30-44,Street,853
854,17195,Men,Asphyxiation,High School or more,30-44,Other,854
855,24599,Men,Knife,Middle school,30-44,Street,855
856,23707,Men,Firearm,Primary or less,45-69,Street,856
857,28800,Men,Firearm,Primary or less,30-44,Street,857
858,15907,Women,Firearm,Middle school,45-69,Other,858
859,17367,Women,Non-specified means,High School or more,45-69,Street,859
860,17527,Men,Other,Primary or less,30-44,Street,860
861,13211,Men,Firearm,Primary or less,45-69,Street,861
862,11288,Men,Knife,High School or more,20-29,Other,862
863,19429,Men,Firearm,High School or more,20-29,Other,863
864,16393,Men,Firearm,High School or more,30-44,Street,864
865,7495,Men,Firearm,High School or more,20-29,Street,865
866,29030,Men,Firearm,Primary or less,45-69,Street,866
867,7916,Men,Firearm,Middle school,45-69,Street,867
868,21383,Men,Firearm,Middle school,30-44,Street,868
869,23476,Men,Firearm,Middle school,45-69,Home,869
870,24430,Men,Asphyxiation,High School or more,30-44,Home,870
871,10280,Women,Firearm,High School or more,30-44,Street,871
872,5112,Men,Firearm,High School or more,20-29,Home,872
873,28902,Men,Firearm,High School or more,20-29,Street,873
874,28124,Men,Firearm,Primary or less,30-44,Other,874
875,31731,Men,Firearm,High School or more,30-44,Street,875
876,29260,Men,Firearm,Middle school,45-69,Home,876
877,12658,Women,Firearm,Primary or less,30-44,Other,877
878,27859,Women,Knife,Middle school,69 +,Home,878
879,16825,Men,Firearm,High School or more,30-44,Street,879
880,20799,Men,Non-specified means,Primary or less,69 +,Other,880
881,14031,Men,Firearm,High School or more,69 +,Street,881
882,13819,Men,Firearm,High School or more,45-69,Street,882
883,30866,Men,Firearm,High School or more,45-69,Street,883
884,12616,Men,Firearm,High School or more,30-44,Home,884
885,15497,Men,Firearm,High School or more,30-44,Other,885
886,16917,Men,Knife,High School or more,0-19,Street,886
887,25520,Men,Firearm,Middle school,20-29,Street,887
888,18561,Men,Non-specified means,Primary or less,69 +,Street,888
889,27736,Men,Firearm,High School or more,30-44,Street,889
890,27650,Men,Firearm,High School or more,20-29,Street,890
891,20491,Men,Firearm,High School or more,30-44,Street,891
892,17792,Men,Asphyxiation,High School or more,45-69,Street,892
893,27565,Men,Knife,High School or more,30-44,Street,893
894,20526,Men,Firearm,Primary or less,45-69,Street,894
895,12543,Men,Firearm,High School or more,0-19,Street,895
896,16640,Men,Firearm,Primary or less,30-44,Other,896
897,13009,Men,Firearm,Middle school,20-29,Street,897
898,31035,Men,Firearm,High School or more,45-69,Other,898
899,20544,Men,Firearm,High School or more,45-69,Other,899
900,20989,Men,Firearm,High School or more,30-44,Street,900
901,25737,Women,Firearm,High School or more,20-29,Street,901
902,22882,Men,Firearm,High School or more,20-29,Home,902
903,24860,Men,Other,High School or more,69 +,Home,903
904,25650,Women,Knife,Middle school,45-69,Home,904
905,10917,Men,Firearm,Middle school,20-29,Street,905
906,11427,Men,Firearm,Primary or less,45-69,Street,906
907,20844,Men,Non-specified means,Middle school,45-69,Street,907
908,6538,Men,Firearm,High School or more,45-69,Street,908
909,27082,Men,Firearm,High School or more,30-44,Other,909
910,4878,Men,Firearm,High School or more,30-44,Home,910
911,7055,Men,Non-specified means,Primary or less,20-29,Other,911
912,29957,Men,Firearm,Middle school,30-44,Street,912
913,22,Men,Knife,High School or more,20-29,Street,913
914,31807,Men,Firearm,Primary or less,20-29,Street,914
915,25322,Men,Non-specified means,Primary or less,69 +,Street,915
916,2309,Men,Firearm,Middle school,45-69,Home,916
917,19640,Men,Firearm,Middle school,30-44,Street,917
918,28837,Men,Non-specified means,High School or more,0-19,Home,918
919,20900,Men,Knife,Middle school,30-44,Other,919
920,28993,Men,Non-specified means,High School or more,0-19,Other,920
921,21074,Men,Knife,High School or more,20-29,Home,921
922,18469,Men,Firearm,Primary or less,69 +,Other,922
923,24585,Men,Firearm,High School or more,20-29,Street,923
924,24591,Women,Asphyxiation,Primary or less,20-29,Home,924
925,19451,Men,Firearm,High School or more,45-69,Street,925
926,25283,Men,Firearm,Primary or less,69 +,Other,926
927,26872,Men,Firearm,Middle school,20-29,Street,927
928,5086,Men,Knife,High School or more,20-29,Street,928
929,16815,Men,Firearm,High School or more,45-69,Street,929
930,10598,Men,Firearm,High School or more,20-29,Other,930
931,8261,Men,Firearm,Primary or less,45-69,Other,931
932,17975,Men,Non-specified means,Primary or less,69 +,Other,932
933,25331,Men,Firearm,Primary or less,69 +,Other,933
934,3187,Men,Firearm,High School or more,20-29,Street,934
935,14212,Men,Firearm,High School or more,45-69,Street,935
936,7249,Men,Firearm,High School or more,30-44,Street,936
937,28874,Men,Firearm,High School or more,0-19,Home,937
938,16563,Men,Firearm,High School or more,20-29,Street,938
939,9265,Men,Firearm,Middle school,30-44,Street,939
940,5354,Men,Knife,High School or more,20-29,Other,940
941,29742,Men,Firearm,High School or more,30-44,Street,941
942,16622,Men,Firearm,Primary or less,30-44,Street,942
943,30551,Women,Firearm,High School or more,45-69,Home,943
944,21102,Men,Firearm,Primary or less,69 +,Street,944
945,8086,Men,Non-specified means,High School or more,20-29,Home,945
946,5724,Men,Knife,Middle school,30-44,Home,946
947,13183,Men,Firearm,High School or more,30-44,Street,947
948,1445,Men,Firearm,Middle school,30-44,Street,948
949,5815,Men,Non-specified means,High School or more,20-29,Street,949
950,13599,Men,Non-specified means,High School or more,30-44,Other,950
951,26986,Men,Firearm,High School or more,45-69,Street,951
952,26346,Men,Firearm,High School or more,30-44,Street,952
953,16812,Men,Firearm,High School or more,30-44,Street,953
954,26799,Men,Firearm,Middle school,30-44,Street,954
955,8954,Men,Firearm,High School or more,20-29,Street,955
956,28940,Men,Non-specified means,High School or more,30-44,Home,956
957,3919,Men,Firearm,High School or more,30-44,Other,957
958,24113,Men,Firearm,High School or more,30-44,Street,958
959,28961,Men,Firearm,High School or more,20-29,Street,959
960,18218,Men,Other,High School or more,45-69,Home,960
961,26833,Men,Knife,High School or more,20-29,Street,961
962,6475,Men,Firearm,High School or more,20-29,Street,962
963,21156,Men,Firearm,High School or more,20-29,Street,963
964,30194,Men,Non-specified means,Primary or less,45-69,Street,964
965,29931,Men,Firearm,High School or more,30-44,Street,965
966,29245,Men,Knife,Primary or less,69 +,Home,966
967,20453,Men,Firearm,High School or more,45-69,Street,967
968,22604,Men,Firearm,High School or more,30-44,Street,968
969,18564,Men,Firearm,Primary or less,69 +,Other,969
970,30216,Men,Firearm,High School or more,30-44,Street,970
971,11469,Men,Firearm,Primary or less,69 +,Street,971
972,11634,Men,Firearm,Middle school,30-44,Street,972
973,26491,Men,Other,Middle school,45-69,Other,973
974,15944,Men,Firearm,High School or more,45-69,Street,974
975,14113,Men,Firearm,Middle school,30-44,Other,975
976,1503,Men,Firearm,High School or more,69 +,Street,976
977,22072,Men,Firearm,Primary or less,30-44,Other,977
978,8253,Men,Knife,High School or more,30-44,Other,978
979,6917,Men,Firearm,Primary or less,45-69,Home,979
980,13452,Men,Firearm,High School or more,30-44,Street,980
981,9783,Men,Firearm,Middle school,45-69,Other,981
982,5622,Men,Firearm,High School or more,0-19,Street,982
983,23415,Men,Firearm,High School or more,0-19,Other,983
984,22169,Men,Firearm,High School or more,20-29,Other,984
985,655,Men,Firearm,High School or more,0-19,Other,985
986,1597,Men,Non-specified means,Primary or less,30-44,Other,986
987,19642,Men,Firearm,Middle school,0-19,Other,987
988,2335,Men,Other,Middle school,30-44,Street,988
989,20932,Men,Firearm,Middle school,30-44,Home,989
990,26212,Men,Firearm,High School or more,20-29,Street,990
991,31470,Men,Firearm,Middle school,30-44,Street,991
992,11686,Men,Firearm,Middle school,0-19,Street,992
993,4637,Men,Firearm,High School or more,45-69,Other,993
994,18530,Men,Firearm,Middle school,45-69,Home,994
995,18491,Men,Non-specified means,High School or more,20-29,Street,995
996,23040,Men,Knife,Primary or less,45-69,Street,996
997,16216,Men,Firearm,Middle school,20-29,Street,997
998,20358,Men,Knife,High School or more,20-29,Other,998
999,25818,Men,Firearm,High School or more,30-44,Street,999
1000,30844,Men,Knife,Primary or less,30-44,Other,1000
1001,4149,Men,Firearm,Middle school,0-19,Street,1001
1002,20846,Women,Firearm,High School or more,0-19,Home,1002
1003,9913,Men,Firearm,High School or more,30-44,Street,1003
1004,26221,Men,Firearm,Primary or less,30-44,Street,1004
1005,19019,Men,Firearm,High School or more,30-44,Other,1005
1006,25998,Men,Firearm,High School or more,30-44,Other,1006
1007,18851,Men,Firearm,Middle school,30-44,Street,1007
1008,10639,Men,Firearm,Middle school,20-29,Street,1008
1009,20629,Men,Firearm,High School or more,20-29,Street,1009
1010,28672,Men,Firearm,Middle school,30-44,Street,1010
1011,23803,Women,Firearm,Middle school,30-44,Street,1011
1012,2544,Men,Other,High School or more,20-29,Street,1012
1013,14298,Men,Firearm,High School or more,20-29,Home,1013
1014,26208,Men,Asphyxiation,High School or more,20-29,Street,1014
1015,13373,Women,Firearm,High School or more,30-44,Street,1015
1016,31622,Men,Firearm,High School or more,30-44,Street,1016
1017,18988,Men,Firearm,High School or more,20-29,Street,1017
1018,13403,Men,Asphyxiation,High School or more,30-44,Street,1018
1019,24527,Men,Firearm,Middle school,30-44,Street,1019
1020,19838,Men,Firearm,High School or more,30-44,Street,1020
1021,28963,Women,Firearm,High School or more,20-29,Street,1021
1022,29336,Men,Knife,Primary or less,45-69,Street,1022
1023,28703,Men,Firearm,High School or more,30-44,Street,1023
1024,23616,Men,Firearm,High School or more,20-29,Other,1024
1025,22112,Men,Firearm,Middle school,45-69,Other,1025
1026,21653,Men,Firearm,Middle school,20-29,Street,1026
1027,221,Men,Firearm,High School or more,20-29,Street,1027
1028,3224,Women,Non-specified means,Primary or less,0-19,Other,1028
1029,4499,Men,Firearm,Primary or less,0-19,Street,1029
1030,18543,Men,Firearm,Primary or less,69 +,Street,1030
1031,5161,Women,Knife,High School or more,45-69,Home,1031
1032,5419,Men,Knife,Primary or less,20-29,Street,1032
1033,14618,Men,Firearm,Middle school,20-29,Street,1033
1034,27846,Men,Knife,High School or more,30-44,Street,1034
1035,28849,Men,Firearm,High School or more,30-44,Home,1035
1036,13329,Men,Firearm,High School or more,30-44,Street,1036
1037,18765,Men,Firearm,High School or more,0-19,Street,1037
1038,12112,Men,Firearm,High School or more,45-69,Street,1038
1039,6411,Men,Firearm,Primary or less,45-69,Street,1039
1040,18075,Men,Firearm,Primary or less,30-44,Street,1040
1041,22185,Men,Firearm,Middle school,20-29,Street,1041
1042,19218,Men,Firearm,Primary or less,30-44,Street,1042
1043,9659,Men,Firearm,High School or more,20-29,Other,1043
1044,22020,Men,Firearm,High School or more,0-19,Other,1044
1045,2040,Men,Firearm,Primary or less,45-69,Street,1045
1046,1583,Men,Firearm,High School or more,20-29,Street,1046
1047,27709,Men,Firearm,Middle school,30-44,Street,1047
1048,4825,Men,Firearm,High School or more,30-44,Street,1048
1049,30034,Men,Firearm,Middle school,45-69,Other,1049
1050,13251,Men,Firearm,High School or more,20-29,Street,1050
1051,11539,Men,Firearm,High School or more,20-29,Street,1051
1052,19222,Women,Firearm,Middle school,20-29,Street,1052
1053,11122,Women,Firearm,Primary or less,69 +,Street,1053
1054,15865,Men,Firearm,High School or more,45-69,Street,1054
1055,19772,Men,Firearm,High School or more,30-44,Street,1055
1056,18972,Men,Firearm,High School or more,30-44,Other,1056
1057,24241,Men,Knife,Middle school,69 +,Street,1057
1058,24364,Men,Firearm,High School or more,20-29,Street,1058
1059,31559,Men,Firearm,Middle school,30-44,Street,1059
1060,18424,Men,Firearm,Primary or less,20-29,Street,1060
1061,19255,Women,Firearm,Middle school,30-44,Street,1061
1062,31122,Men,Firearm,Primary or less,45-69,Street,1062
1063,2033,Men,Non-specified means,Primary or less,45-69,Street,1063
1064,13020,Men,Firearm,High School or more,30-44,Street,1064
1065,27873,Men,Other,Middle school,30-44,Street,1065
1066,15292,Men,Firearm,Primary or less,0-19,Street,1066
1067,1902,Men,Non-specified means,Primary or less,45-69,Other,1067
1068,20231,Men,Non-specified means,Middle school,20-29,Street,1068
1069,3470,Women,Non-specified means,Middle school,30-44,Other,1069
1070,2437,Men,Firearm,Middle school,0-19,Street,1070
1071,24798,Men,Other,High School or more,30-44,Other,1071
1072,27985,Women,Firearm,Primary or less,45-69,Street,1072
1073,4800,Men,Knife,Primary or less,69 +,Home,1073
1074,17914,Men,Firearm,High School or more,30-44,Home,1074
1075,30507,Men,Non-specified means,High School or more,20-29,Street,1075
1076,3970,Men,Firearm,High School or more,30-44,Street,1076
1077,3860,Men,Firearm,High School or more,30-44,Home,1077
1078,3819,Men,Knife,Middle school,0-19,Street,1078
1079,16086,Men,Knife,Middle school,0-19,Other,1079
1080,8952,Men,Firearm,Middle school,20-29,Street,1080
1081,10448,Men,Firearm,Middle school,45-69,Other,1081
1082,5999,Men,Firearm,High School or more,30-44,Street,1082
1083,6872,Men,Firearm,Primary or less,69 +,Street,1083
1084,22093,Men,Firearm,High School or more,20-29,Other,1084
1085,5694,Men,Knife,High School or more,0-19,Street,1085
1086,19775,Men,Firearm,Primary or less,30-44,Street,1086
1087,4418,Men,Other,High School or more,45-69,Home,1087
1088,6273,Men,Firearm,High School or more,45-69,Home,1088
1089,7552,Men,Non-specified means,Primary or less,30-44,Street,1089
1090,17020,Women,Firearm,High School or more,45-69,Street,1090
1091,13307,Men,Firearm,High School or more,30-44,Street,1091
1092,2207,Men,Firearm,Middle school,20-29,Street,1092
1093,1278,Women,Firearm,Middle school,30-44,Other,1093
1094,3190,Men,Firearm,Primary or less,20-29,Street,1094
1095,17628,Men,Firearm,High School or more,30-44,Street,1095
1096,18742,Men,Firearm,High School or more,0-19,Home,1096
1097,15424,Men,Firearm,High School or more,30-44,Home,1097
1098,9475,Men,Firearm,High School or more,20-29,Street,1098
1099,12499,Men,Firearm,Middle school,30-44,Street,1099
1100,22252,Men,Firearm,Middle school,45-69,Street,1100
1101,23801,Men,Non-specified means,Middle school,45-69,Street,1101
1102,26558,Men,Firearm,High School or more,20-29,Street,1102
1103,12711,Men,Firearm,Middle school,30-44,Street,1103
1104,268,Men,Firearm,Primary or less,30-44,Street,1104
1105,22894,Women,Firearm,Middle school,20-29,Home,1105
1106,15118,Men,Firearm,High School or more,20-29,Other,1106
1107,12536,Women,Firearm,Middle school,45-69,Street,1107
1108,12478,Men,Firearm,Middle school,20-29,Street,1108
1109,21359,Men,Firearm,High School or more,20-29,Home,1109
1110,28333,Men,Firearm,High School or more,0-19,Street,1110
1111,8251,Men,Firearm,Primary or less,45-69,Street,1111
1112,26747,Men,Firearm,High School or more,20-29,Street,1112
1113,31169,Men,Knife,Middle school,30-44,Street,1113
1114,5177,Men,Firearm,High School or more,20-29,Street,1114
1115,28664,Men,Firearm,High School or more,20-29,Street,1115
1116,15240,Men,Firearm,Middle school,30-44,Other,1116
1117,12945,Men,Knife,High School or more,45-69,Street,1117
1118,12111,Men,Knife,High School or more,69 +,Street,1118
1119,12907,Women,Asphyxiation,Middle school,0-19,Street,1119
1120,13481,Men,Knife,Middle school,30-44,Other,1120
1121,18238,Men,Knife,Middle school,30-44,Home,1121
1122,25853,Women,Firearm,High School or more,0-19,Other,1122
1123,24190,Men,Firearm,High School or more,20-29,Other,1123
1124,14793,Men,Firearm,High School or more,45-69,Other,1124
1125,23884,Men,Firearm,High School or more,20-29,Street,1125
1126,9714,Men,Firearm,High School or more,20-29,Street,1126
1127,15000,Men,Firearm,High School or more,30-44,Home,1127
1128,26356,Men,Non-specified means,High School or more,20-29,Other,1128
1129,18841,Men,Knife,Middle school,30-44,Other,1129
1130,3643,Men,Firearm,Middle school,45-69,Home,1130
1131,26461,Men,Asphyxiation,High School or more,30-44,Street,1131
1132,229,Men,Firearm,Primary or less,69 +,Street,1132
1133,22946,Men,Firearm,Primary or less,30-44,Home,1133
1134,3576,Men,Firearm,High School or more,30-44,Other,1134
1135,13105,Men,Firearm,High School or more,30-44,Street,1135
1136,29581,Men,Firearm,Middle school,45-69,Home,1136
1137,3594,Men,Firearm,Middle school,20-29,Street,1137
1138,10987,Men,Asphyxiation,High School or more,20-29,Street,1138
1139,12103,Men,Knife,High School or more,20-29,Street,1139
1140,16718,Men,Asphyxiation,High School or more,20-29,Other,1140
1141,20566,Men,Firearm,High School or more,20-29,Other,1141
1142,28526,Women,Asphyxiation,High School or more,20-29,Street,1142
1143,28313,Men,Firearm,High School or more,30-44,Home,1143
1144,4074,Men,Firearm,Middle school,30-44,Street,1144
1145,380,Men,Firearm,Middle school,20-29,Home,1145
1146,29901,Men,Other,High School or more,30-44,Other,1146
1147,19840,Men,Firearm,High School or more,45-69,Other,1147
1148,31118,Men,Firearm,High School or more,30-44,Other,1148
1149,30647,Men,Firearm,Primary or less,45-69,Street,1149
1150,3808,Men,Firearm,Middle school,30-44,Home,1150
1151,30726,Men,Knife,High School or more,30-44,Other,1151
1152,24710,Women,Firearm,High School or more,30-44,Street,1152
1153,31735,Women,Firearm,High School or more,0-19,Street,1153
1154,16525,Men,Knife,High School or more,20-29,Street,1154
1155,19987,Men,Firearm,High School or more,20-29,Street,1155
1156,29863,Women,Asphyxiation,High School or more,45-69,Other,1156
1157,26578,Men,Firearm,Middle school,30-44,Street,1157
1158,21331,Men,Firearm,Middle school,20-29,Street,1158
1159,18262,Men,Non-specified means,Middle school,30-44,Other,1159
1160,11638,Men,Firearm,Middle school,30-44,Other,1160
1161,25235,Men,Firearm,Primary or less,69 +,Street,1161
1162,8427,Men,Knife,Middle school,30-44,Street,1162
1163,15133,Men,Firearm,Middle school,0-19,Other,1163
1164,27820,Women,Firearm,High School or more,30-44,Street,1164
1165,4006,Men,Other,Middle school,30-44,Street,1165
1166,16233,Men,Asphyxiation,Middle school,30-44,Street,1166
1167,27136,Men,Firearm,High School or more,45-69,Home,1167
1168,26134,Men,Firearm,Middle school,30-44,Street,1168
1169,24352,Men,Firearm,Middle school,20-29,Other,1169
1170,15866,Men,Asphyxiation,High School or more,20-29,Home,1170
1171,12725,Men,Firearm,Middle school,20-29,Street,1171
1172,18502,Men,Firearm,High School or more,20-29,Other,1172
1173,1001,Women,Firearm,High School or more,30-44,Home,1173
1174,21991,Men,Firearm,Middle school,20-29,Other,1174
1175,21561,Men,Firearm,High School or more,30-44,Street,1175
1176,10315,Men,Firearm,High School or more,45-69,Street,1176
1177,17127,Men,Other,Middle school,30-44,Street,1177
1178,4540,Men,Other,Primary or less,69 +,Street,1178
1179,7497,Men,Firearm,High School or more,0-19,Street,1179
1180,1134,Men,Firearm,High School or more,20-29,Street,1180
1181,26438,Men,Firearm,Middle school,45-69,Street,1181
1182,1037,Men,Firearm,Middle school,20-29,Street,1182
1183,5215,Men,Firearm,Primary or less,30-44,Street,1183
1184,7328,Men,Firearm,High School or more,20-29,Home,1184
1185,6004,Men,Firearm,Middle school,30-44,Street,1185
1186,14295,Women,Knife,High School or more,20-29,Other,1186
1187,22480,Men,Firearm,Middle school,45-69,Street,1187
1188,6436,Men,Knife,Primary or less,30-44,Other,1188
1189,7309,Men,Firearm,High School or more,20-29,Street,1189
1190,22618,Men,Firearm,High School or more,30-44,Other,1190
1191,29222,Men,Firearm,Middle school,30-44,Street,1191
1192,24313,Men,Firearm,Primary or less,45-69,Street,1192
1193,28306,Men,Other,High School or more,30-44,Street,1193
1194,20580,Men,Knife,High School or more,30-44,Other,1194
1195,2070,Men,Firearm,High School or more,45-69,Street,1195
1196,6261,Men,Firearm,Primary or less,30-44,Street,1196
1197,20649,Men,Firearm,Middle school,30-44,Other,1197
1198,8256,Men,Knife,Middle school,0-19,Street,1198
1199,21662,Men,Firearm,Middle school,30-44,Street,1199
1200,17245,Men,Non-specified means,Primary or less,20-29,Home,1200
1201,2909,Men,Firearm,Primary or less,20-29,Other,1201
1202,16463,Men,Firearm,High School or more,20-29,Street,1202
1203,11958,Men,Non-specified means,High School or more,45-69,Street,1203
1204,13730,Men,Firearm,Middle school,30-44,Street,1204
1205,11509,Men,Knife,High School or more,0-19,Street,1205
1206,3937,Men,Firearm,Middle school,20-29,Home,1206
1207,23551,Men,Firearm,High School or more,30-44,Street,1207
1208,30186,Men,Firearm,Middle school,20-29,Home,1208
1209,15912,Men,Firearm,High School or more,20-29,Street,1209
1210,8385,Men,Other,Primary or less,30-44,Street,1210
1211,11153,Men,Knife,Primary or less,69 +,Other,1211
1212,18392,Men,Firearm,Primary or less,69 +,Street,1212
1213,13240,Men,Firearm,Middle school,30-44,Street,1213
1214,15735,Women,Firearm,High School or more,30-44,Street,1214
1215,28303,Men,Firearm,High School or more,20-29,Street,1215
1216,28395,Men,Firearm,Primary or less,30-44,Other,1216
1217,25267,Men,Firearm,Middle school,30-44,Street,1217
1218,12784,Men,Firearm,High School or more,30-44,Street,1218
1219,13001,Men,Firearm,High School or more,20-29,Street,1219
1220,2223,Men,Firearm,High School or more,45-69,Other,1220
1221,18589,Men,Firearm,High School or more,20-29,Street,1221
1222,27662,Men,Firearm,High School or more,30-44,Street,1222
1223,20385,Men,Firearm,High School or more,20-29,Other,1223
1224,4636,Men,Firearm,Middle school,30-44,Other,1224
1225,889,Men,Firearm,Middle school,45-69,Street,1225
1226,22205,Women,Firearm,Middle school,45-69,Other,1226
1227,23296,Men,Firearm,High School or more,45-69,Street,1227
1228,22631,Men,Firearm,High School or more,20-29,Home,1228
1229,24336,Men,Firearm,High School or more,30-44,Other,1229
1230,26229,Men,Non-specified means,High School or more,30-44,Street,1230
1231,11633,Men,Firearm,Middle school,30-44,Other,1231
1232,30688,Women,Knife,High School or more,45-69,Street,1232
1233,31621,Men,Firearm,High School or more,30-44,Street,1233
1234,4889,Men,Firearm,High School or more,0-19,Home,1234
1235,26131,Men,Knife,High School or more,30-44,Street,1235
1236,23596,Men,Firearm,Middle school,20-29,Street,1236
1237,14875,Men,Firearm,Middle school,20-29,Other,1237
1238,7892,Men,Non-specified means,Middle school,30-44,Street,1238
1239,28246,Men,Non-specified means,Middle school,0-19,Street,1239
1240,26429,Men,Firearm,High School or more,20-29,Other,1240
1241,29636,Men,Firearm,High School or more,30-44,Other,1241
1242,15592,Women,Non-specified means,Primary or less,20-29,Street,1242
1243,12615,Men,Firearm,Middle school,20-29,Street,1243
1244,9999,Men,Firearm,Middle school,20-29,Street,1244
1245,14073,Men,Firearm,Middle school,20-29,Other,1245
1246,12959,Men,Firearm,High School or more,45-69,Other,1246
1247,22196,Men,Other,Primary or less,45-69,Home,1247
1248,19017,Men,Firearm,High School or more,30-44,Other,1248
1249,26523,Men,Firearm,Primary or less,20-29,Home,1249
1250,27283,Men,Asphyxiation,Middle school,30-44,Other,1250
1251,3314,Men,Non-specified means,High School or more,45-69,Other,1251
1252,3250,Men,Firearm,High School or more,30-44,Home,1252
1253,19677,Men,Firearm,Middle school,20-29,Street,1253
1254,17834,Men,Firearm,Primary or less,20-29,Street,1254
1255,18479,Women,Non-specified means,Middle school,20-29,Street,1255
1256,27468,Men,Firearm,Middle school,30-44,Street,1256
1257,25827,Men,Firearm,High School or more,0-19,Street,1257
1258,4271,Men,Firearm,Primary or less,30-44,Street,1258
1259,19701,Men,Firearm,Middle school,0-19,Street,1259
1260,3934,Men,Firearm,High School or more,30-44,Street,1260
1261,27806,Men,Firearm,Middle school,45-69,Street,1261
1262,26727,Men,Firearm,High School or more,45-69,Home,1262
1263,16515,Men,Asphyxiation,Middle school,30-44,Home,1263
1264,30476,Men,Knife,High School or more,20-29,Other,1264
1265,19510,Men,Firearm,Middle school,30-44,Other,1265
1266,12004,Men,Firearm,Middle school,30-44,Street,1266
1267,22030,Men,Firearm,Primary or less,69 +,Street,1267
1268,10944,Men,Knife,Primary or less,30-44,Street,1268
1269,23813,Men,Knife,Middle school,45-69,Street,1269
1270,10755,Men,Firearm,Middle school,20-29,Street,1270
1271,29547,Men,Firearm,High School or more,30-44,Street,1271
1272,3379,Men,Non-specified means,Middle school,20-29,Home,1272
1273,19831,Men,Non-specified means,Middle school,30-44,Other,1273
1274,21410,Men,Firearm,High School or more,0-19,Street,1274
1275,10311,Men,Knife,High School or more,20-29,Home,1275
1276,25678,Men,Firearm,Middle school,30-44,Street,1276
1277,9682,Men,Firearm,Primary or less,20-29,Street,1277
1278,29343,Women,Non-specified means,Primary or less,20-29,Other,1278
1279,28919,Men,Firearm,Middle school,45-69,Street,1279
1280,20028,Men,Firearm,High School or more,20-29,Street,1280
1281,898,Men,Other,High School or more,20-29,Street,1281
1282,15485,Men,Firearm,High School or more,20-29,Street,1282
1283,3768,Men,Firearm,Middle school,45-69,Street,1283
1284,2962,Men,Firearm,High School or more,30-44,Street,1284
1285,26665,Women,Firearm,Primary or less,30-44,Street,1285
1286,13510,Men,Other,High School or more,20-29,Street,1286
1287,8526,Men,Asphyxiation,High School or more,20-29,Street,1287
1288,17908,Men,Knife,Middle school,20-29,Home,1288
1289,8723,Men,Firearm,High School or more,30-44,Street,1289
1290,2485,Women,Firearm,High School or more,30-44,Home,1290
1291,22396,Men,Firearm,Primary or less,45-69,Street,1291
1292,13567,Men,Firearm,High School or more,20-29,Street,1292
1293,23322,Men,Knife,Middle school,30-44,Street,1293
1294,1501,Men,Firearm,High School or more,30-44,Street,1294
1295,11297,Men,Knife,Primary or less,20-29,Street,1295
1296,10242,Men,Firearm,Middle school,30-44,Street,1296
1297,8196,Men,Firearm,High School or more,30-44,Street,1297
1298,23508,Men,Non-specified means,Primary or less,69 +,Other,1298
1299,31777,Men,Firearm,Middle school,0-19,Street,1299
1300,28736,Women,Other,High School or more,20-29,Street,1300
