"","X1","sexo2","cause_r","educ_r","age_r","location_r","random_number"
"3956",3956,"Men","Firearm","High School or more","0-19","Home",17626
"3957",3957,"Men","Asphyxiation","High School or more","20-29","Other",27981
"3958",3958,"Men","Firearm","Middle school","30-44","Home",2173
"3959",3959,"Men","Firearm","High School or more","20-29","Street",20495
"3960",3960,"Women","Knife","High School or more","20-29","Street",9158
"3961",3961,"Men","Firearm","High School or more","30-44","Street",180
"3962",3962,"Men","Firearm","High School or more","30-44","Home",20781
"3963",3963,"Men","Knife","High School or more","30-44","Other",26907
"3964",3964,"Men","Firearm","Middle school","0-19","Home",15412
"3965",3965,"Men","Firearm","Middle school","30-44","Street",6246
"3966",3966,"Men","Firearm","High School or more","20-29","Street",9023
"3967",3967,"Men","Firearm","High School or more","30-44","Street",13303
"3968",3968,"Men","Knife","Middle school","20-29","Street",20526
"3969",3969,"Men","Knife","Primary or less","69 +","Other",25673
"3970",3970,"Men","Firearm","High School or more","30-44","Street",1076
"3971",3971,"Women","Firearm","High School or more","30-44","Other",28226
"3972",3972,"Men","Firearm","High School or more","30-44","Street",26905
"3973",3973,"Men","Asphyxiation","Primary or less","69 +","Street",21453
"3974",3974,"Men","Knife","Primary or less","69 +","Other",11966
"3975",3975,"Men","Firearm","High School or more","30-44","Street",28002
"3976",3976,"Men","Firearm","Primary or less","45-69","Street",23206
"3977",3977,"Men","Firearm","High School or more","45-69","Street",20947
"3978",3978,"Men","Firearm","Middle school","30-44","Street",9764
"3979",3979,"Men","Firearm","High School or more","45-69","Other",25242
"3980",3980,"Men","Firearm","Primary or less","45-69","Street",26098
"3981",3981,"Men","Firearm","Primary or less","20-29","Other",25229
"3982",3982,"Men","Asphyxiation","Primary or less","69 +","Other",6744
"3983",3983,"Women","Firearm","High School or more","20-29","Street",10644
"3984",3984,"Men","Firearm","Primary or less","69 +","Other",682
"3985",3985,"Men","Firearm","High School or more","20-29","Street",15694
"3986",3986,"Men","Non-specified means","Primary or less","69 +","Other",28125
"3987",3987,"Men","Firearm","Primary or less","69 +","Other",834
"3988",3988,"Men","Firearm","Primary or less","30-44","Street",18
"3989",3989,"Women","Firearm","High School or more","20-29","Street",23504
"3990",3990,"Men","Firearm","High School or more","30-44","Street",20607
"3991",3991,"Men","Firearm","Primary or less","69 +","Other",6808
"3992",3992,"Men","Firearm","High School or more","30-44","Street",5414
"3993",3993,"Men","Firearm","Middle school","30-44","Other",23842
"3994",3994,"Men","Firearm","High School or more","20-29","Street",14885
"3995",3995,"Men","Knife","Middle school","45-69","Street",22028
"3996",3996,"Men","Asphyxiation","Middle school","30-44","Street",375
"3997",3997,"Men","Firearm","High School or more","0-19","Street",26665
"3998",3998,"Men","Knife","Primary or less","30-44","Other",5746
"3999",3999,"Men","Firearm","Middle school","20-29","Street",2496
"4000",4000,"Men","Firearm","High School or more","45-69","Street",18564
"4001",4001,"Men","Knife","High School or more","45-69","Home",2427
"4002",4002,"Men","Asphyxiation","High School or more","45-69","Home",29289
"4003",4003,"Men","Knife","Primary or less","69 +","Other",30989
"4004",4004,"Men","Knife","Primary or less","69 +","Other",1339
"4005",4005,"Men","Firearm","High School or more","30-44","Street",16521
"4006",4006,"Men","Other","Middle school","30-44","Street",1165
"4007",4007,"Men","Firearm","Middle school","30-44","Home",29585
"4008",4008,"Men","Firearm","Primary or less","69 +","Other",25857
"4009",4009,"Women","Firearm","Middle school","0-19","Street",18586
"4010",4010,"Men","Knife","Primary or less","69 +","Other",6507
"4011",4011,"Men","Firearm","High School or more","30-44","Other",2265
"4012",4012,"Men","Firearm","Primary or less","45-69","Street",8880
"4013",4013,"Men","Firearm","Middle school","30-44","Street",9084
"4014",4014,"Men","Firearm","High School or more","45-69","Other",12009
"4015",4015,"Men","Firearm","High School or more","30-44","Home",8226
"4016",4016,"Men","Firearm","Middle school","30-44","Other",29416
"4017",4017,"Men","Firearm","Primary or less","30-44","Street",8562
"4018",4018,"Men","Firearm","Primary or less","69 +","Other",15125
"4019",4019,"Men","Non-specified means","Middle school","69 +","Street",22172
"4020",4020,"Men","Firearm","Primary or less","69 +","Street",26016
"4021",4021,"Men","Firearm","Middle school","30-44","Street",557
"4022",4022,"Men","Firearm","Middle school","20-29","Other",24829
"4023",4023,"Men","Firearm","High School or more","30-44","Street",17504
"4024",4024,"Men","Firearm","Middle school","45-69","Street",22569
"4025",4025,"Men","Firearm","High School or more","20-29","Street",8510
"4026",4026,"Men","Firearm","Primary or less","69 +","Street",31409
"4027",4027,"Men","Firearm","Middle school","20-29","Street",24406
"4028",4028,"Men","Asphyxiation","High School or more","30-44","Home",1941
"4029",4029,"Men","Firearm","High School or more","0-19","Street",4456
"4030",4030,"Men","Firearm","Middle school","45-69","Home",30750
"4031",4031,"Men","Non-specified means","Middle school","30-44","Street",16116
"4032",4032,"Men","Firearm","High School or more","30-44","Street",20892
"4033",4033,"Men","Asphyxiation","Primary or less","69 +","Other",24622
"4034",4034,"Men","Firearm","High School or more","20-29","Street",9349
"4035",4035,"Women","Firearm","Middle school","30-44","Street",10993
"4036",4036,"Men","Firearm","Middle school","0-19","Street",27149
"4037",4037,"Men","Asphyxiation","Middle school","0-19","Other",9683
"4038",4038,"Men","Knife","Primary or less","30-44","Other",16163
"4039",4039,"Men","Firearm","Middle school","30-44","Street",2474
"4040",4040,"Men","Other","High School or more","45-69","Other",17693
"4041",4041,"Men","Knife","Primary or less","69 +","Street",5137
"4042",4042,"Men","Firearm","High School or more","45-69","Street",19509
"4043",4043,"Men","Knife","Primary or less","69 +","Street",10306
"4044",4044,"Men","Firearm","Middle school","45-69","Street",7262
"4045",4045,"Men","Asphyxiation","Middle school","30-44","Street",8707
"4046",4046,"Men","Asphyxiation","High School or more","30-44","Home",9273
"4047",4047,"Women","Firearm","High School or more","30-44","Street",28391
"4048",4048,"Men","Firearm","High School or more","30-44","Street",30291
"4049",4049,"Men","Firearm","High School or more","30-44","Street",24947
"4050",4050,"Men","Firearm","High School or more","30-44","Home",29971
"4051",4051,"Women","Firearm","High School or more","20-29","Other",3788
"4052",4052,"Men","Firearm","High School or more","20-29","Street",3365
"4053",4053,"Men","Firearm","High School or more","30-44","Street",1477
"4054",4054,"Men","Firearm","Middle school","30-44","Street",4967
"4055",4055,"Men","Firearm","High School or more","20-29","Street",12118
"4056",4056,"Men","Firearm","High School or more","45-69","Street",17343
"4057",4057,"Men","Firearm","High School or more","20-29","Street",22456
"4058",4058,"Men","Firearm","High School or more","45-69","Street",2448
"4059",4059,"Women","Firearm","High School or more","20-29","Street",26666
"4060",4060,"Men","Firearm","High School or more","30-44","Street",26279
"4061",4061,"Men","Firearm","Middle school","20-29","Home",6798
"4062",4062,"Men","Firearm","Middle school","30-44","Other",14064
"4063",4063,"Men","Firearm","High School or more","20-29","Street",31726
"4064",4064,"Women","Asphyxiation","High School or more","30-44","Other",19540
"4065",4065,"Men","Firearm","Middle school","30-44","Other",30557
"4066",4066,"Men","Firearm","High School or more","30-44","Other",21834
"4067",4067,"Men","Firearm","High School or more","20-29","Street",8503
"4068",4068,"Women","Firearm","High School or more","30-44","Home",25635
"4069",4069,"Men","Firearm","High School or more","20-29","Street",11292
"4070",4070,"Men","Firearm","Middle school","45-69","Home",16618
"4071",4071,"Men","Firearm","High School or more","30-44","Street",23136
"4072",4072,"Women","Firearm","Middle school","20-29","Home",21647
"4073",4073,"Men","Firearm","High School or more","20-29","Street",21700
"4074",4074,"Men","Firearm","Middle school","30-44","Street",1144
"4075",4075,"Men","Firearm","Middle school","30-44","Other",2309
"4076",4076,"Women","Firearm","High School or more","30-44","Home",24764
"4077",4077,"Men","Firearm","High School or more","30-44","Street",11858
"4078",4078,"Men","Non-specified means","High School or more","45-69","Street",17485
"4079",4079,"Men","Asphyxiation","High School or more","0-19","Other",16488
"4080",4080,"Men","Firearm","Middle school","20-29","Street",454
"4081",4081,"Women","Firearm","High School or more","20-29","Street",4246
"4082",4082,"Men","Firearm","High School or more","45-69","Home",13130
"4083",4083,"Men","Firearm","Middle school","45-69","Street",8530
"4084",4084,"Women","Firearm","High School or more","30-44","Other",6627
"4085",4085,"Men","Firearm","High School or more","20-29","Street",17674
"4086",4086,"Men","Knife","High School or more","20-29","Other",5771
"4087",4087,"Men","Knife","High School or more","30-44","Other",10936
"4088",4088,"Men","Knife","High School or more","20-29","Other",28637
"4089",4089,"Men","Firearm","High School or more","20-29","Street",27542
"4090",4090,"Men","Firearm","High School or more","30-44","Street",30464
"4091",4091,"Men","Firearm","Middle school","30-44","Street",12975
"4092",4092,"Men","Firearm","Middle school","45-69","Home",10220
"4093",4093,"Men","Firearm","Primary or less","30-44","Street",11169
"4094",4094,"Men","Knife","High School or more","20-29","Other",25996
"4095",4095,"Men","Firearm","High School or more","30-44","Street",12228
"4096",4096,"Men","Firearm","Middle school","30-44","Street",19147
"4097",4097,"Men","Firearm","High School or more","30-44","Street",14976
"4098",4098,"Men","Knife","High School or more","20-29","Other",13262
"4099",4099,"Men","Firearm","High School or more","45-69","Street",26361
"4100",4100,"Men","Firearm","Middle school","30-44","Street",19174
"4101",4101,"Men","Firearm","High School or more","20-29","Street",7408
"4102",4102,"Men","Firearm","Middle school","20-29","Street",6745
"4103",4103,"Men","Firearm","Middle school","45-69","Street",26843
"4104",4104,"Men","Firearm","Middle school","20-29","Home",16871
"4105",4105,"Men","Firearm","High School or more","20-29","Home",25682
"4106",4106,"Men","Firearm","High School or more","0-19","Home",29653
"4107",4107,"Men","Firearm","Primary or less","30-44","Home",6942
"4108",4108,"Men","Firearm","Primary or less","45-69","Street",16223
"4109",4109,"Men","Firearm","Middle school","20-29","Street",7123
"4110",4110,"Men","Firearm","Primary or less","20-29","Street",28558
"4111",4111,"Men","Firearm","High School or more","30-44","Street",27374
"4112",4112,"Men","Firearm","High School or more","30-44","Street",8327
"4113",4113,"Men","Firearm","High School or more","20-29","Street",4134
"4114",4114,"Men","Firearm","High School or more","45-69","Street",17325
"4115",4115,"Men","Firearm","High School or more","30-44","Other",29648
"4116",4116,"Men","Firearm","Middle school","30-44","Other",10100
"4117",4117,"Men","Firearm","High School or more","30-44","Street",29260
"4118",4118,"Men","Firearm","High School or more","30-44","Home",2524
"4119",4119,"Men","Firearm","High School or more","30-44","Other",2231
"4120",4120,"Men","Firearm","High School or more","30-44","Street",31718
"4121",4121,"Men","Firearm","Middle school","20-29","Street",31877
"4122",4122,"Men","Firearm","Primary or less","30-44","Street",20762
"4123",4123,"Men","Firearm","Middle school","30-44","Street",7328
"4124",4124,"Men","Firearm","Middle school","20-29","Street",19493
"4125",4125,"Women","Knife","High School or more","30-44","Home",9407
"4126",4126,"Men","Firearm","Middle school","45-69","Street",12831
"4127",4127,"Men","Firearm","Middle school","45-69","Home",7624
"4128",4128,"Men","Firearm","High School or more","20-29","Home",19164
"4129",4129,"Men","Firearm","High School or more","30-44","Street",16889
"4130",4130,"Men","Firearm","Middle school","30-44","Other",10933
"4131",4131,"Men","Firearm","Primary or less","69 +","Street",23651
"4132",4132,"Men","Firearm","Middle school","30-44","Street",2641
"4133",4133,"Men","Firearm","Primary or less","20-29","Other",30027
"4134",4134,"Men","Asphyxiation","Primary or less","30-44","Street",11948
"4135",4135,"Men","Firearm","Middle school","20-29","Street",8068
"4136",4136,"Men","Firearm","Middle school","30-44","Street",1957
"4137",4137,"Men","Firearm","High School or more","0-19","Street",29205
"4138",4138,"Men","Firearm","High School or more","30-44","Street",2925
"4139",4139,"Men","Firearm","Primary or less","69 +","Street",28846
"4140",4140,"Men","Firearm","Primary or less","69 +","Street",8114
"4141",4141,"Men","Firearm","Primary or less","69 +","Street",5950
"4142",4142,"Men","Firearm","High School or more","20-29","Street",28923
"4143",4143,"Men","Firearm","High School or more","30-44","Street",6360
"4144",4144,"Men","Asphyxiation","Middle school","20-29","Other",28811
"4145",4145,"Men","Firearm","Middle school","20-29","Street",4959
"4146",4146,"Men","Firearm","Middle school","30-44","Street",7014
"4147",4147,"Men","Firearm","Middle school","20-29","Street",11147
"4148",4148,"Men","Firearm","Primary or less","30-44","Street",29240
"4149",4149,"Men","Firearm","Middle school","0-19","Street",1001
"4150",4150,"Men","Firearm","High School or more","20-29","Street",10975
"4151",4151,"Men","Firearm","High School or more","30-44","Other",26634
"4152",4152,"Men","Knife","Middle school","45-69","Home",19725
"4153",4153,"Men","Firearm","High School or more","30-44","Street",28728
"4154",4154,"Men","Firearm","Primary or less","20-29","Home",17562
"4155",4155,"Men","Firearm","Primary or less","45-69","Street",22250
"4156",4156,"Women","Firearm","Primary or less","0-19","Home",23834
"4157",4157,"Men","Firearm","Middle school","30-44","Street",7178
"4158",4158,"Men","Non-specified means","Middle school","20-29","Other",20076
"4159",4159,"Men","Firearm","Primary or less","20-29","Home",26095
"4160",4160,"Men","Firearm","High School or more","30-44","Street",29496
"4161",4161,"Women","Firearm","Middle school","45-69","Street",30700
"4162",4162,"Men","Firearm","High School or more","30-44","Street",11910
"4163",4163,"Men","Firearm","Primary or less","30-44","Home",19955
"4164",4164,"Men","Firearm","Middle school","30-44","Street",10486
"4165",4165,"Men","Firearm","High School or more","45-69","Street",8752
"4166",4166,"Men","Knife","Middle school","30-44","Street",8039
"4167",4167,"Men","Firearm","Primary or less","45-69","Street",30965
"4168",4168,"Men","Firearm","High School or more","30-44","Street",26234
"4169",4169,"Men","Knife","Middle school","0-19","Street",10471
"4170",4170,"Men","Firearm","High School or more","30-44","Street",27769
"4171",4171,"Men","Firearm","High School or more","0-19","Other",15305
"4172",4172,"Men","Firearm","Primary or less","45-69","Other",18296
"4173",4173,"Men","Firearm","Middle school","30-44","Street",27869
"4174",4174,"Men","Firearm","High School or more","45-69","Street",26274
"4175",4175,"Men","Firearm","High School or more","30-44","Street",4353
"4176",4176,"Men","Firearm","Primary or less","30-44","Home",11233
"4177",4177,"Men","Firearm","Middle school","45-69","Street",20976
"4178",4178,"Men","Firearm","Middle school","20-29","Street",30669
"4179",4179,"Men","Firearm","Primary or less","30-44","Street",15702
"4180",4180,"Men","Firearm","High School or more","30-44","Street",14629
"4181",4181,"Men","Firearm","High School or more","0-19","Street",10536
"4182",4182,"Men","Firearm","High School or more","45-69","Home",15375
"4183",4183,"Men","Knife","High School or more","30-44","Street",20512
"4184",4184,"Men","Firearm","Primary or less","69 +","Street",1561
"4185",4185,"Men","Firearm","Middle school","45-69","Street",21216
"4186",4186,"Men","Firearm","High School or more","30-44","Home",22126
"4187",4187,"Men","Firearm","High School or more","20-29","Other",6263
"4188",4188,"Men","Firearm","High School or more","30-44","Home",25301
"4189",4189,"Men","Non-specified means","Middle school","45-69","Street",27143
"4190",4190,"Men","Firearm","Primary or less","20-29","Other",11290
"4191",4191,"Men","Asphyxiation","Primary or less","69 +","Other",25489
"4192",4192,"Women","Asphyxiation","Primary or less","69 +","Other",29996
"4193",4193,"Men","Asphyxiation","Primary or less","69 +","Other",2423
"4194",4194,"Men","Asphyxiation","Primary or less","69 +","Other",31286
"4195",4195,"Women","Asphyxiation","Primary or less","69 +","Other",27249
"4196",4196,"Men","Firearm","Primary or less","69 +","Street",16535
"4197",4197,"Men","Firearm","Middle school","45-69","Street",14181
"4198",4198,"Men","Firearm","Primary or less","69 +","Other",5268
"4199",4199,"Men","Firearm","High School or more","20-29","Street",12424
"4200",4200,"Men","Firearm","Primary or less","69 +","Other",1752
"4201",4201,"Men","Firearm","High School or more","20-29","Street",22280
"4202",4202,"Men","Knife","High School or more","30-44","Other",7748
"4203",4203,"Men","Asphyxiation","Middle school","30-44","Street",18167
"4204",4204,"Men","Firearm","Middle school","30-44","Other",12231
"4205",4205,"Men","Knife","Primary or less","69 +","Other",7475
"4206",4206,"Men","Non-specified means","High School or more","30-44","Other",4733
"4207",4207,"Men","Firearm","Middle school","20-29","Street",22141
"4208",4208,"Men","Firearm","Primary or less","69 +","Other",5271
"4209",4209,"Men","Firearm","Primary or less","20-29","Home",16469
"4210",4210,"Men","Knife","Primary or less","45-69","Home",28255
"4211",4211,"Men","Firearm","Primary or less","30-44","Street",25910
"4212",4212,"Men","Knife","High School or more","45-69","Home",5095
"4213",4213,"Men","Other","Middle school","20-29","Home",13723
"4214",4214,"Women","Firearm","High School or more","20-29","Home",13693
"4215",4215,"Men","Asphyxiation","High School or more","0-19","Other",23052
"4216",4216,"Men","Firearm","Middle school","20-29","Home",15965
"4217",4217,"Men","Firearm","High School or more","30-44","Home",20924
"4218",4218,"Men","Firearm","Middle school","30-44","Home",13627
"4219",4219,"Men","Firearm","Middle school","30-44","Home",29080
"4220",4220,"Men","Knife","High School or more","20-29","Home",24965
"4221",4221,"Men","Knife","Middle school","30-44","Home",28265
"4222",4222,"Men","Knife","Primary or less","30-44","Home",16836
"4223",4223,"Men","Knife","Primary or less","30-44","Street",17653
"4224",4224,"Men","Firearm","Middle school","30-44","Street",5390
"4225",4225,"Men","Asphyxiation","Primary or less","30-44","Street",24032
"4226",4226,"Men","Firearm","High School or more","20-29","Street",24215
"4227",4227,"Men","Firearm","High School or more","0-19","Street",15909
"4228",4228,"Men","Knife","Primary or less","45-69","Other",31902
"4229",4229,"Men","Firearm","Primary or less","20-29","Street",1924
"4230",4230,"Men","Firearm","Primary or less","20-29","Street",12028
"4231",4231,"Men","Firearm","Primary or less","69 +","Street",24781
"4232",4232,"Men","Firearm","Primary or less","30-44","Other",10124
"4233",4233,"Men","Firearm","Primary or less","30-44","Other",23024
"4234",4234,"Men","Knife","Middle school","30-44","Other",22692
"4235",4235,"Men","Asphyxiation","Primary or less","30-44","Street",30678
"4236",4236,"Men","Firearm","Primary or less","30-44","Other",3134
"4237",4237,"Women","Other","Primary or less","30-44","Home",5199
"4238",4238,"Men","Firearm","Middle school","20-29","Home",12046
"4239",4239,"Men","Firearm","Primary or less","20-29","Street",15241
"4240",4240,"Men","Firearm","Middle school","0-19","Home",13589
"4241",4241,"Men","Firearm","Primary or less","0-19","Street",24844
"4242",4242,"Men","Other","Primary or less","30-44","Street",8963
"4243",4243,"Men","Firearm","Primary or less","45-69","Street",1751
"4244",4244,"Men","Other","High School or more","30-44","Other",29250
"4245",4245,"Men","Knife","Primary or less","30-44","Home",18400
"4246",4246,"Men","Knife","High School or more","0-19","Other",19806
"4247",4247,"Men","Other","Primary or less","45-69","Street",8753
"4248",4248,"Men","Non-specified means","Primary or less","20-29","Street",18049
"4249",4249,"Women","Non-specified means","Middle school","45-69","Street",1652
"4250",4250,"Men","Knife","Primary or less","30-44","Street",5626
"4251",4251,"Men","Firearm","Primary or less","20-29","Street",2056
"4252",4252,"Men","Knife","Primary or less","30-44","Street",5350
"4253",4253,"Men","Firearm","Primary or less","45-69","Street",16547
"4254",4254,"Women","Asphyxiation","Primary or less","45-69","Home",20844
"4255",4255,"Men","Knife","Middle school","30-44","Street",26281
"4256",4256,"Men","Knife","Primary or less","20-29","Street",22351
"4257",4257,"Men","Firearm","High School or more","0-19","Street",20149
"4258",4258,"Men","Firearm","High School or more","20-29","Street",7518
"4259",4259,"Women","Asphyxiation","Primary or less","30-44","Home",6825
"4260",4260,"Men","Firearm","High School or more","30-44","Street",15427
"4261",4261,"Men","Firearm","High School or more","0-19","Street",10142
"4262",4262,"Men","Firearm","Primary or less","20-29","Street",22333
"4263",4263,"Women","Other","High School or more","20-29","Home",11002
"4264",4264,"Women","Knife","Primary or less","45-69","Home",11559
"4265",4265,"Men","Firearm","High School or more","0-19","Street",2816
"4266",4266,"Men","Firearm","Middle school","30-44","Street",18056
"4267",4267,"Men","Firearm","Primary or less","30-44","Street",22299
"4268",4268,"Men","Firearm","High School or more","45-69","Home",21985
"4269",4269,"Men","Other","High School or more","20-29","Street",25073
"4270",4270,"Men","Firearm","High School or more","20-29","Street",8870
"4271",4271,"Men","Firearm","Primary or less","30-44","Street",1258
"4272",4272,"Men","Firearm","High School or more","30-44","Street",9723
"4273",4273,"Men","Knife","Primary or less","45-69","Street",28856
"4274",4274,"Women","Knife","High School or more","30-44","Street",30466
"4275",4275,"Men","Firearm","High School or more","30-44","Street",5193
"4276",4276,"Men","Firearm","Primary or less","30-44","Street",7431
"4277",4277,"Men","Firearm","Primary or less","30-44","Street",19552
"4278",4278,"Men","Knife","Middle school","30-44","Street",17737
"4279",4279,"Men","Firearm","High School or more","30-44","Street",25900
"4280",4280,"Men","Non-specified means","Primary or less","45-69","Other",6153
"4281",4281,"Men","Other","High School or more","45-69","Other",26115
"4282",4282,"Men","Asphyxiation","Primary or less","45-69","Other",8698
"4283",4283,"Women","Firearm","Middle school","20-29","Home",10687
"4284",4284,"Women","Knife","Primary or less","69 +","Other",15237
"4285",4285,"Men","Firearm","Primary or less","45-69","Street",20027
"4286",4286,"Men","Knife","High School or more","30-44","Street",2271
"4287",4287,"Men","Firearm","High School or more","45-69","Street",29233
"4288",4288,"Men","Firearm","Primary or less","45-69","Street",23102
"4289",4289,"Men","Knife","Middle school","30-44","Street",3671
"4290",4290,"Men","Firearm","Primary or less","30-44","Street",22746
"4291",4291,"Men","Knife","Primary or less","30-44","Other",18276
"4292",4292,"Men","Firearm","Primary or less","45-69","Street",10088
"4293",4293,"Men","Firearm","Primary or less","20-29","Street",2521
"4294",4294,"Men","Knife","High School or more","20-29","Other",569
"4295",4295,"Men","Other","Primary or less","69 +","Other",12577
"4296",4296,"Men","Firearm","High School or more","30-44","Street",1683
"4297",4297,"Men","Firearm","Primary or less","30-44","Street",24217
"4298",4298,"Men","Non-specified means","High School or more","30-44","Other",14688
"4299",4299,"Men","Firearm","High School or more","45-69","Street",19369
"4300",4300,"Men","Firearm","Middle school","45-69","Street",28266
"4301",4301,"Men","Firearm","Middle school","0-19","Street",7824
"4302",4302,"Men","Knife","Primary or less","69 +","Other",19682
"4303",4303,"Men","Firearm","High School or more","0-19","Street",7889
"4304",4304,"Men","Firearm","High School or more","20-29","Street",26464
"4305",4305,"Men","Knife","Primary or less","20-29","Street",14633
"4306",4306,"Men","Knife","Primary or less","20-29","Street",31291
"4307",4307,"Men","Knife","Primary or less","30-44","Street",15475
"4308",4308,"Men","Other","High School or more","45-69","Home",16808
"4309",4309,"Women","Other","Primary or less","0-19","Home",19382
"4310",4310,"Men","Firearm","Middle school","0-19","Street",31647
"4311",4311,"Men","Firearm","Middle school","0-19","Street",24514
"4312",4312,"Men","Firearm","Primary or less","20-29","Street",14900
"4313",4313,"Men","Knife","Primary or less","30-44","Other",27301
"4314",4314,"Men","Knife","Middle school","30-44","Street",11804
"4315",4315,"Women","Firearm","Middle school","30-44","Street",18226
"4316",4316,"Men","Knife","Primary or less","30-44","Other",4836
"4317",4317,"Men","Knife","Middle school","45-69","Street",14093
"4318",4318,"Men","Non-specified means","Primary or less","30-44","Street",18173
"4319",4319,"Men","Firearm","Primary or less","20-29","Street",3114
"4320",4320,"Men","Firearm","High School or more","30-44","Street",3682
"4321",4321,"Men","Firearm","Middle school","20-29","Home",6418
"4322",4322,"Men","Firearm","Middle school","0-19","Street",10954
"4323",4323,"Men","Asphyxiation","High School or more","20-29","Home",17961
"4324",4324,"Men","Firearm","High School or more","30-44","Street",13918
"4325",4325,"Men","Firearm","High School or more","20-29","Street",24175
"4326",4326,"Men","Firearm","Middle school","30-44","Street",27835
"4327",4327,"Men","Knife","High School or more","0-19","Other",2135
"4328",4328,"Men","Other","Middle school","20-29","Other",25812
"4329",4329,"Men","Firearm","Primary or less","30-44","Street",17299
"4330",4330,"Women","Knife","Primary or less","30-44","Other",7618
"4331",4331,"Men","Firearm","High School or more","30-44","Street",12868
"4332",4332,"Men","Firearm","Primary or less","30-44","Street",7714
"4333",4333,"Men","Knife","Primary or less","20-29","Home",26883
"4334",4334,"Men","Firearm","Middle school","20-29","Street",5773
"4335",4335,"Men","Firearm","High School or more","20-29","Street",11019
"4336",4336,"Men","Firearm","Primary or less","30-44","Street",12928
"4337",4337,"Men","Knife","Primary or less","30-44","Other",23158
"4338",4338,"Men","Other","Primary or less","69 +","Street",3548
"4339",4339,"Men","Non-specified means","Primary or less","30-44","Street",24960
"4340",4340,"Men","Firearm","Primary or less","30-44","Street",30488
"4341",4341,"Men","Firearm","Primary or less","20-29","Street",29263
"4342",4342,"Women","Other","High School or more","45-69","Home",30174
"4343",4343,"Men","Knife","Primary or less","30-44","Street",20123
"4344",4344,"Men","Knife","Primary or less","30-44","Other",23729
"4345",4345,"Men","Firearm","Middle school","20-29","Street",11881
"4346",4346,"Men","Firearm","High School or more","45-69","Street",7295
"4347",4347,"Men","Knife","Middle school","30-44","Street",13683
"4348",4348,"Men","Non-specified means","Primary or less","45-69","Other",27184
"4349",4349,"Men","Firearm","Primary or less","45-69","Street",22673
"4350",4350,"Men","Other","High School or more","30-44","Home",12913
"4351",4351,"Men","Firearm","Primary or less","45-69","Street",16843
"4352",4352,"Men","Firearm","Primary or less","30-44","Street",5429
"4353",4353,"Men","Firearm","High School or more","30-44","Street",10771
"4354",4354,"Women","Other","Primary or less","69 +","Home",19966
"4355",4355,"Men","Knife","Primary or less","45-69","Street",4454
"4356",4356,"Men","Asphyxiation","Primary or less","20-29","Other",26014
"4357",4357,"Men","Firearm","Primary or less","20-29","Street",565
"4358",4358,"Men","Firearm","Primary or less","20-29","Street",9416
"4359",4359,"Men","Knife","Primary or less","30-44","Street",2193
"4360",4360,"Men","Knife","High School or more","30-44","Street",12800
"4361",4361,"Men","Knife","Primary or less","45-69","Street",2912
"4362",4362,"Men","Firearm","High School or more","30-44","Street",23350
"4363",4363,"Men","Other","Primary or less","69 +","Other",28335
"4364",4364,"Men","Other","Primary or less","69 +","Other",29587
"4365",4365,"Women","Firearm","Middle school","20-29","Street",19457
"4366",4366,"Men","Firearm","Middle school","45-69","Street",449
"4367",4367,"Men","Firearm","Primary or less","45-69","Other",3620
"4368",4368,"Men","Firearm","Primary or less","45-69","Street",14817
"4369",4369,"Men","Firearm","Primary or less","45-69","Other",21673
"4370",4370,"Men","Other","Primary or less","30-44","Street",8054
"4371",4371,"Men","Knife","Middle school","30-44","Other",5728
"4372",4372,"Men","Knife","High School or more","0-19","Other",12209
"4373",4373,"Men","Firearm","Primary or less","45-69","Other",29307
"4374",4374,"Men","Firearm","Primary or less","30-44","Street",23788
"4375",4375,"Men","Firearm","Primary or less","30-44","Home",6817
"4376",4376,"Men","Firearm","High School or more","20-29","Home",23994
"4377",4377,"Men","Knife","Primary or less","30-44","Home",10509
"4378",4378,"Men","Knife","Primary or less","45-69","Home",9391
"4379",4379,"Men","Firearm","Primary or less","30-44","Home",7120
"4380",4380,"Men","Firearm","Primary or less","30-44","Street",14066
"4381",4381,"Men","Firearm","Primary or less","30-44","Street",30159
"4382",4382,"Men","Firearm","Middle school","20-29","Street",21110
"4383",4383,"Men","Other","Primary or less","30-44","Street",10807
"4384",4384,"Men","Knife","High School or more","20-29","Other",13887
"4385",4385,"Men","Firearm","Middle school","0-19","Other",31189
"4386",4386,"Women","Knife","High School or more","45-69","Home",23741
"4387",4387,"Men","Firearm","High School or more","0-19","Home",8738
"4388",4388,"Men","Firearm","Middle school","30-44","Street",10962
"4389",4389,"Women","Asphyxiation","Middle school","30-44","Home",14989
"4390",4390,"Men","Knife","High School or more","0-19","Street",20311
"4391",4391,"Men","Firearm","Middle school","20-29","Street",8046
"4392",4392,"Women","Knife","Primary or less","30-44","Other",24273
"4393",4393,"Women","Knife","Primary or less","0-19","Other",5922
"4394",4394,"Men","Firearm","Middle school","45-69","Home",22839
"4395",4395,"Men","Firearm","High School or more","20-29","Street",17497
"4396",4396,"Men","Firearm","Primary or less","45-69","Street",17986
"4397",4397,"Men","Firearm","High School or more","20-29","Street",27200
"4398",4398,"Men","Knife","Middle school","20-29","Street",4311
"4399",4399,"Men","Firearm","Middle school","45-69","Other",20155
"4400",4400,"Men","Firearm","Middle school","45-69","Other",9701
"4401",4401,"Men","Knife","Middle school","30-44","Other",2694
